q1_22K	q5_22K	Error_q1_22K	Error_q5_22K	BE
0.3	1.4813	0.025	0.0625	50
0.29375	1.55	0.025	0.0625	48
0.275	1.5875	0.025	0.05	46
0.2625	1.65	0.025	0.05	44
NAN	1.675	0.025	0.05	42
0.28125	1.6625	0.025	0.05	40
0.3125	1.5625	0.025	0.0375	38
0.3375	1.4875	0.025	0.0375	36
0.3625	1.4375	0.0125	0.0375	34
0.38125	1.3688	0.0125	0.0375	32
0.3875	1.3125	0.0125	0.0375	30
0.4	1.2812	0.0125	0.0375	28
0.4	1.25	0.0125	0.0375	26
0.4125	1.2313	0.0125	0.0375	24
0.41875	1.2125	0.0125	0.025	22
0.425	1.1813	0.0125	0.025	20
0.44375	1.1375	0.0125	0.025	18
0.45625	1.1125	0.0125	0.0375	16
0.4625	1.1	0.025	0.05	14
0.5	1.0437	0.03125	0.0625	12
0.525	0.95625	0.03125	0.0625	10
0.5375	0.9375	0.03125	0.0625	8
0.55	0.925	0.025	0.05	6
0.5625	0.91875	0.01875	0.0375	4
0.54375	0.9375	0.0125	0.025	2
0.55	0.94375	0.0125	0.025	0
