q1_44K	q5_44K	Error_q1_44K	Error_q5_44K	BE
0.275	1.525	0.025	0.0625	50
0.275	1.5625	0.025	0.0625	48
0.24375	1.625	0.025	0.05	46
0.25	1.625	0.025	0.05	44
0.2625	1.6188	0.025	0.05	42
0.2625	1.5813	0.025	0.05	40
0.2875	1.5563	0.025	0.0375	38
0.30625	1.5625	0.025	0.0375	36
0.33125	1.4813	0.0125	0.0375	34
0.35	1.4188	0.0125	0.0375	32
0.375	1.3625	0.0125	0.0375	30
0.3875	1.3188	0.0125	0.0375	28
0.39375	1.2812	0.0125	0.0375	26
0.4	1.25	0.0125	0.0375	24
0.4125	1.2188	0.0125	0.0375	22
0.425	1.1938	0.0125	0.0375	20
0.4375	1.1625	0.01875	0.05	18
0.44375	1.15	0.025	0.05	16
0.46875	1.1125	0.025	0.05	14
0.49375	1.0563	0.025	0.05	12
0.5125	1	0.01875	0.0375	10
0.525	0.975	0.01875	0.025	8
0.5375	0.96875	0.01875	0.025	6
0.54375	0.95625	0.0125	0.025	4
0.55625	0.925	0.0125	0.025	2
0.56875	0.925	0.0125	0.025	0
