q1_62K	q5_62K	Error_q1_62K	Error_q5_62K	BE
0.3	1.5375	0.025	0.0625	50
0.29375	1.55	0.025	0.0625	48
0.29375	1.5813	0.025	0.05	46
0.29375	1.6125	0.025	0.05	44
0.29375	1.6625	0.025	0.05	42
0.28125	1.5875	0.025	0.05	40
0.30625	1.5688	0.025	0.0375	38
0.3125	1.5625	0.025	0.0375	36
0.31875	1.5125	0.0125	0.0375	34
0.3375	1.4938	0.0125	0.0375	32
0.375	1.3875	0.0125	0.0375	30
0.39375	1.3438	0.0125	0.0375	28
0.4	1.3	0.0125	0.0375	26
0.4125	1.2563	0.0125	0.0375	24
0.4125	1.2375	0.0125	0.0375	22
0.425	1.1875	0.0125	0.0375	20
0.4375	1.1687	0.01875	0.05	18
0.45	1.15	0.025	0.05	16
0.4625	1.125	0.025	0.05	14
0.4875	1.0813	0.025	0.05	12
0.5	1.025	0.01875	0.0375	10
0.5125	0.99375	0.01875	0.025	8
0.53125	0.9875	0.01875	0.025	6
0.5375	0.98125	0.0125	0.025	4
0.55	0.9625	0.0125	0.025	2
0.55	0.95625	0.0125	0.025	0
