q1_80K	q5_80K	Error_q1_80K	Error_q5_80K	BE
0.33125	1.45	0.025	0.0625	50
0.31875	1.4688	0.025	0.0625	48
0.31875	1.4563	0.025	0.05	46
0.325	1.4313	0.025	0.05	44
0.325	1.4625	0.025	0.05	42
0.325	1.45	0.025	0.05	40
0.33125	1.4438	0.025	0.0375	38
0.3625	1.3688	0.025	0.0375	36
0.375	1.35	0.0125	0.0375	34
0.375	1.325	0.0125	0.0375	32
0.38125	1.3063	0.0125	0.0375	30
0.3875	1.3	0.0125	0.0375	28
0.39375	1.2875	0.0125	0.0375	26
0.4	1.2688	0.0125	0.0375	24
0.4125	1.2563	0.0125	0.0375	22
0.425	1.1938	0.0125	0.0375	20
0.425	1.2	0.01875	0.05	18
0.43125	1.175	0.025	0.05	16
0.44375	1.1562	0.025	0.05	14
0.44375	1.1562	0.025	0.05	12
0.4625	1.1375	0.01875	0.0375	10
0.475	1.1062	0.01875	0.025	8
0.48125	1.0975	0.01875	0.025	6
0.50625	1.0437	0.0125	0.025	4
0.53125	1	0.0125	0.025	2
0.54375	0.9875	0.0125	0.025	0
