q1	q5	Error_q5	Error_q1	BE
0.29167	1.525	0.0625	0.025	50
0.29167	1.525	0.0625	0.025	48
0.29167	1.525	0.05	0.025	46
0.29167	1.5208	0.05	0.025	44
0.3	1.525	0.05	0.025	42
0.30417	1.5167	0.05	0.025	40
0.3125	1.5125	0.0375	0.025	38
0.3125	1.5083	0.0375	0.025	36
0.31667	1.5042	0.0375	0.0125	34
0.32917	1.4958	0.0375	0.0125	32
0.33333	1.4875	0.0375	0.0125	30
0.3375	1.4792	0.0375	0.0125	28
0.34583	1.475	0.0375	0.0125	26
0.35417	1.4667	0.0375	0.0125	24
0.35833	1.45	0.025	0.0125	22
0.37083	1.4458	0.025	0.0125	20
0.375	1.4375	0.025	0.0125	18
0.37917	1.425	0.025	0.0125	16
0.3875	1.4208	0.025	0.0125	14
0.39167	1.4125	0.025	0.0125	12
0.39167	1.4042	0.025	0.0125	10
0.4	1.4	0.025	0.0125	8
0.4	1.3917	0.025	0.0125	6
0.40833	1.3875	0.025	0.0125	4
0.4125	1.375	0.025	0.0125	2
0.41667	1.3667	0.025	0.0125	0
