E	q1	q5
-28	0.3375	1.4792
-26	0.34583	1.475
-24	0.35417	1.4667
-22	0.35833	1.45
-20	0.37083	1.4458
-18	0.375	1.4375
-16	0.37917	1.425
-14	0.3875	1.4208
-12	0.39167	1.4125
-10	0.39167	1.4042
-8	0.4	1.4
-6	0.4	1.3917
-4	0.40833	1.3875
-2	0.4125	1.375
0	0.41667	1.3667
2	0.41667	1.3708
4	0.42083	1.375
6	0.425	1.3833
8	0.4333	1.3917
10	0.42917	1.4
12	0.42917	1.4083
14	0.43333	1.425
16	0.43333	1.4458
18	0.43333	1.4667
20	0.43333	1.5083
22	0.42917	1.5167
24	0.42917	1.5542
26	0.41667	1.575
28	0.4	1.6083
